ticker,Price,marketCap,Volume,exchange,shortname,quoteType,index,score,typeDisp,longname,exchDisp,sector,industry,dispSecIndFlag,isYahooFinance,prevName,nameChangeDate
QCOM,123.68000030517578,137903208255.79102,5523800,NMS,QUALCOMM Incorporated,EQUITY,quotes,6937800.0,Equity,QUALCOMM Incorporated,NASDAQ,Technology,Semiconductors,True,True,,
NEM,44.099998474121094,35006313483.166504,6482500,NYQ,Newmont Corporation,EQUITY,quotes,4500900.0,Equity,Newmont Corporation,NYSE,Basic Materials,Gold,True,True,,
TDG,750.9400024414062,40999897347.29614,196900,NYQ,Transdigm Group Incorporated,EQUITY,quotes,2237500.0,Equity,TransDigm Group Incorporated,NYSE,Industrials,Aerospace & Defense,True,True,,
GEN,19.190000534057617,12264886311.891724,3523300,NMS,Gen Digital Inc.,EQUITY,quotes,2419100.0,Equity,Gen Digital Inc.,NASDAQ,Technology,Software—Infrastructure,False,True,NortonLifeLock Inc.,2023-03-02
WMB,29.940000534057617,36678595017.13794,7374500,NYQ,"Williams Companies, Inc. (The)",EQUITY,quotes,3389100.0,Equity,"The Williams Companies, Inc.",NYSE,Energy,Oil & Gas Midstream,True,True,,
ADP,219.55999755859375,90975124108.39844,1387800,NMS,"Automatic Data Processing, Inc.",EQUITY,quotes,2557500.0,Equity,"Automatic Data Processing, Inc.",NASDAQ,Industrials,Staffing & Employment Services,True,True,,
FLT,213.5,15690456600.0,529400,NYQ,"FleetCor Technologies, Inc.",EQUITY,quotes,2121300.0,Equity,"FLEETCOR Technologies, Inc.",NYSE,Technology,Software—Infrastructure,False,True,,
ADI,183.11000061035156,92626741673.86816,2600300,NMS,"Analog Devices, Inc.",EQUITY,quotes,2873700.0,Equity,"Analog Devices, Inc.",NASDAQ,Technology,Semiconductors,True,True,,
MPWR,486.5299987792969,23015301592.25464,281500,NMS,"Monolithic Power Systems, Inc.",EQUITY,quotes,2293500.0,Equity,"Monolithic Power Systems, Inc.",NASDAQ,Technology,Semiconductors,True,True,,
BN.PA,53.349998474121094,34251764313.155273,234220,PAR,DANONE,EQUITY,quotes,2084300.0,Equity,Danone S.A.,Paris,Consumer Defensive,Packaged Foods,,True,,
CNC,68.51000213623047,37767167971.86914,3447500,NYQ,Centene Corporation,EQUITY,quotes,2695400.0,Equity,Centene Corporation,NYSE,Healthcare,Healthcare Plans,True,True,,
PWR,159.64999389648438,22989757493.887695,957400,NYQ,"Quanta Services, Inc.",EQUITY,quotes,2408000.0,Equity,"Quanta Services, Inc.",NYSE,Industrials,Engineering & Construction,True,True,,
BBWI,39.40999984741211,9001835430.426636,4462500,NYQ,"Bath & Body Works, Inc.",EQUITY,quotes,2396300.0,Equity,"Bath & Body Works, Inc.",NYSE,Consumer Cyclical,Specialty Retail,True,True,"L Brands, Inc.",2023-03-02
IRM,52.58000183105469,15295312212.646484,1403700,NYQ,Iron Mountain Incorporated (Del,EQUITY,quotes,2638300.0,Equity,Iron Mountain Incorporated,NYSE,Real Estate,REIT—Specialty,True,True,,
ZION,50.439998626708984,7497854952.341675,1128600,NMS,Zions Bancorporation N.A.,EQUITY,quotes,2153600.0,Equity,"Zions Bancorporation, National Association",NASDAQ,Financial Services,Banks—Regional,False,True,,
TXN,172.1699981689453,156021488115.40723,4647800,NMS,Texas Instruments Incorporated,EQUITY,quotes,3302600.0,Equity,Texas Instruments Incorporated,NASDAQ,Technology,Semiconductors,True,True,,
DIS,98.54000091552734,180013857495.8545,7883900,NYQ,Walt Disney Company (The),EQUITY,quotes,12402500.0,Equity,The Walt Disney Company,NYSE,Communication Services,Entertainment,True,True,,
AEE,81.04000091552734,21234829751.574707,1841700,NYQ,Ameren Corporation,EQUITY,quotes,2265100.0,Equity,Ameren Corporation,NYSE,Utilities,Utilities—Regulated Electric,True,True,,
MOH,273.79998779296875,15853019293.21289,439500,NYQ,Molina Healthcare Inc,EQUITY,quotes,2282000.0,Equity,"Molina Healthcare, Inc.",NYSE,Healthcare,Healthcare Plans,True,True,,
BIO,475.4100036621094,11657813945.800781,194900,NYQ,"Bio-Rad Laboratories, Inc.",EQUITY,quotes,2139800.0,Equity,"Bio-Rad Laboratories, Inc.",NYSE,Healthcare,Medical Devices,False,True,,
ABI.BR,56.02000045776367,112231031806.04834,688283,BRU,AB INBEV,EQUITY,quotes,2141600.0,Equity,Anheuser-Busch InBev SA/NV,Brussels Stock Exchange,Consumer Defensive,Beverages—Brewers,,True,,
DLR,100.83000183105469,29991482337.91992,2351800,NYQ,"Digital Realty Trust, Inc.",EQUITY,quotes,2819000.0,Equity,"Digital Realty Trust, Inc.",NYSE,Real Estate,REIT—Specialty,True,True,,
SIVB,283.0299987792969,16755630654.733276,393400,NMS,SVB Financial Group,EQUITY,quotes,2361700.0,Equity,SVB Financial Group,NASDAQ,Financial Services,Banks—Regional,True,True,,
ILMN,198.5399932861328,31369318939.208984,1435900,NMS,"Illumina, Inc.",EQUITY,quotes,2629600.0,Equity,"Illumina, Inc.",NASDAQ,Healthcare,Diagnostics & Research,True,True,,
BMW.DE,98.75,65920071120.0,228617,GER,BAYERISCHE MOTOREN WERKE AG,EQUITY,quotes,2336300.0,Equity,Bayerische Motoren Werke Aktiengesellschaft,XETRA,Consumer Cyclical,Auto Manufacturers,,True,,
AIG,60.959999084472656,44942574981.990234,4360100,NYQ,"American International Group, I",EQUITY,quotes,2516100.0,Equity,"American International Group, Inc.",NYSE,Financial Services,Insurance—Diversified,True,True,,
ALK,48.220001220703125,6150075395.690918,1236000,NYQ,"Alaska Air Group, Inc.",EQUITY,quotes,2400700.0,Equity,"Alaska Air Group, Inc.",NYSE,Industrials,Airlines,False,True,,
NWL,14.4399995803833,5972383826.446533,4072700,NMS,Newell Brands Inc.,EQUITY,quotes,2726400.0,Equity,Newell Brands Inc.,NASDAQ,Consumer Defensive,Household & Personal Products,True,True,,
ULTA,516.02001953125,26255511409.765625,458100,NMS,"Ulta Beauty, Inc.",EQUITY,quotes,3172100.0,Equity,"Ulta Beauty, Inc.",NASDAQ,Consumer Cyclical,Specialty Retail,True,True,,
RTX,98.04000091552734,143623700909.8418,3739900,NYQ,Raytheon Technologies Corporati,EQUITY,quotes,4745600.0,Equity,Raytheon Technologies Corporation,NYSE,Industrials,Aerospace & Defense,True,True,,
MSCI,515.4500122070312,41215382976.07422,375500,NYQ,MSCI Inc,EQUITY,quotes,2304900.0,Equity,MSCI Inc.,NYSE,Financial Services,Financial Data & Stock Exchanges,False,True,,
MNST,99.19000244140625,51789579231.19922,5675300,NMS,Monster Beverage Corporation,EQUITY,quotes,4043700.0,Equity,Monster Beverage Corporation,NASDAQ,Consumer Defensive,Beverages—Non-Alcoholic,True,True,,
CRM,167.35000610351562,167350006103.51562,15589000,NYQ,"Salesforce, Inc.",EQUITY,quotes,33109700.0,Equity,"Salesforce, Inc.",NYSE,Technology,Software—Application,True,True,"salesforce.com, inc.",2023-03-02
TROW,111.12999725341797,24937461142.709717,1364900,NMS,"T. Rowe Price Group, Inc.",EQUITY,quotes,2872000.0,Equity,"T. Rowe Price Group, Inc.",NASDAQ,Financial Services,Asset Management,True,True,,
